Words,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,Phonemes,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
coach,c,o,a,c,h,?,?,?,?,?,?,?,?,?,kZ1,k,Z,1,?,?,?,?,?,?,?
collection,c,o,l,l,e,c,t,i,o,n,?,?,?,?,kA0lekF(A)n,k,A,0,l,e,k,F,(A),n,?
college,c,o,l,l,e,g,e,?,?,?,?,?,?,?,0kolIJ,0,k,o,l,I,J,?,?,?,?
colour,c,o,l,o,u,r,?,?,?,?,?,?,?,?,0kulA,0,k,u,l,A,?,?,?,?,?
come,c,o,m,e,?,?,?,?,?,?,?,?,?,?,kum,k,u,m,?,?,?,?,?,?,?
comment,c,o,m,m,e,n,t,?,?,?,?,?,?,?,0koment,0,k,o,m,e,n,t,?,?,?
committee,c,o,m,m,i,t,t,e,e,?,?,?,?,?,,?,?,?,?,?,?,?,?,?,?
common,c,o,m,m,o,n,?,?,?,?,?,?,?,?,0komAn,0,k,o,m,A,n,?,?,?,?
community,c,o,m,m,u,n,i,t,y,?,?,?,?,?,kA0mj7nIti,k,A,0,m,j,7,n,I,t,i
company,c,o,m,p,a,n,y,?,?,?,?,?,?,?,0kump(A)ni,0,k,u,m,p,(A),n,i,?,?
compare,c,o,m,p,a,r,e,?,?,?,?,?,?,?,kAm0p3,k,A,m,0,p,3,?,?,?,?
complete,c,o,m,p,l,e,t,e,?,?,?,?,?,?,kAm0pl5t,k,A,m,0,p,l,5,t,?,?
completely,c,o,m,p,l,e,t,e,l,y,?,?,?,?,kAm0pl5tli,k,A,m,0,p,l,5,t,l,i
complex,c,o,m,p,l,e,x,?,?,?,?,?,?,?,0kompleks,0,k,o,m,p,l,e,k,s,?
computer,c,o,m,p,u,t,e,r,?,?,?,?,?,?,kAm0pj7tA,k,A,m,0,p,j,7,t,A,?
concern,c,o,n,c,e,r,n,?,?,?,?,?,?,?,kAn0s4n,k,A,n,0,s,4,n,?,?,?
condition,c,o,n,d,i,t,i,o,n,?,?,?,?,?,kAn0dIF(A)n,k,A,n,0,d,I,F,(A),n,?
conduct,c,o,n,d,u,c,t,?,?,?,?,?,?,?,0kondukt,0,k,o,n,d,u,k,t,?,?
consider,c,o,n,s,i,d,e,r,?,?,?,?,?,?,kAn0sIdA,k,A,n,0,s,I,d,A,?,?
contact,c,o,n,t,a,c,t,?,?,?,?,?,?,?,0kontakt,0,k,o,n,t,a,k,t,?,?
contain,c,o,n,t,a,i,n,?,?,?,?,?,?,?,kAn0t!n,k,A,n,0,t,!,n,?,?,?
content,c,o,n,t,e,n,t,?,?,?,?,?,?,?,kAn0tent,k,A,n,0,t,e,n,t,?,?
continue,c,o,n,t,i,n,u,e,?,?,?,?,?,?,kAn0tInj7,k,A,n,0,t,I,n,j,7,?
contract,c,o,n,t,r,a,c,t,?,?,?,?,?,?,0kontrakt,0,k,o,n,t,r,a,k,t,?
control,c,o,n,t,r,o,l,?,?,?,?,?,?,?,kAn0trZl,k,A,n,0,t,r,Z,l,?,?
cost,c,o,s,t,?,?,?,?,?,?,?,?,?,?,kost,k,o,s,t,?,?,?,?,?,?
could,c,o,u,l,d,?,?,?,?,?,?,?,?,?,kAd,k,A,d,?,?,?,?,?,?,?
could,c,o,u,l,d,?,?,?,?,?,?,?,?,?,kUd,k,U,d,?,?,?,?,?,?,?
council,c,o,u,n,c,i,l,?,?,?,?,?,?,?,0k9ns(A)l,0,k,9,n,s,(A),l,?,?,?
country,c,o,u,n,t,r,y,?,?,?,?,?,?,?,0kuntri,0,k,u,n,t,r,i,?,?,?
couple,c,o,u,p,l,e,?,?,?,?,?,?,?,?,0kup(A)l,0,k,u,p,(A),l,?,?,?,?
course,c,o,u,r,s,e,?,?,?,?,?,?,?,?,k6s,k,6,s,?,?,?,?,?,?,?
court,c,o,u,r,t,?,?,?,?,?,?,?,?,?,k6t,k,6,t,?,?,?,?,?,?,?
cover,c,o,v,e,r,?,?,?,?,?,?,?,?,?,0kuvA,0,k,u,v,A,?,?,?,?,?
create,c,r,e,a,t,e,?,?,?,?,?,?,?,?,kr50!t,k,r,5,0,!,t,?,?,?,?
credit,c,r,e,d,i,t,?,?,?,?,?,?,?,?,0kredIt,0,k,r,e,d,I,t,?,?,?
crime,c,r,i,m,e,?,?,?,?,?,?,?,?,?,kr8m,k,r,8,m,?,?,?,?,?,?
culture,c,u,l,t,u,r,e,?,?,?,?,?,?,?,0kul1A,0,k,u,l,1,A,?,?,?,?
current,c,u,r,r,e,n,t,?,?,?,?,?,?,?,0kur(A)nt,0,k,u,r,(A),n,t,?,?,?
currently,c,u,r,r,e,n,t,l,y,?,?,?,?,?,0kurAntli,0,k,u,r,A,n,t,l,i,?
customer,c,u,s,t,o,m,e,r,?,?,?,?,?,?,0kustAmA,0,k,u,s,t,A,m,A,?,?
cut,c,u,t,?,?,?,?,?,?,?,?,?,?,?,kut,k,u,t,?,?,?,?,?,?,?
damage,d,a,m,a,g,e,?,?,?,?,?,?,?,?,0damIJ,0,d,a,m,I,J,?,?,?,?
data,d,a,t,a,?,?,?,?,?,?,?,?,?,?,0d!tA,0,d,!,t,A,?,?,?,?,?
date,d,a,t,e,?,?,?,?,?,?,?,?,?,?,d!t,d,!,t,?,?,?,?,?,?,?
day,d,a,y,?,?,?,?,?,?,?,?,?,?,?,d!,d,!,?,?,?,?,?,?,?,?
deal,d,e,a,l,?,?,?,?,?,?,?,?,?,?,d5l,d,5,l,?,?,?,?,?,?,?
death,d,e,a,t,h,?,?,?,?,?,?,?,?,?,deO,d,e,O,?,?,?,?,?,?,?
debate,d,e,b,a,t,e,?,?,?,?,?,?,?,?,dI0b!t,d,I,0,b,!,t,?,?,?,?
decade,d,e,c,a,d,e,?,?,?,?,?,?,?,?,0dek!d,0,d,e,k,!,d,?,?,?,?
decade,d,e,c,a,d,e,?,?,?,?,?,?,?,?,dI0k!d,d,I,0,k,!,d,?,?,?,?
decide,d,e,c,i,d,e,?,?,?,?,?,?,?,?,dI0s8d,d,I,0,s,8,d,?,?,?,?
decision,d,e,c,i,s,i,o,n,?,?,?,?,?,?,dI0sIS(A)n,d,I,0,s,I,S,(A),n,?,?
deep,d,e,e,p,?,?,?,?,?,?,?,?,?,?,d5p,d,5,p,?,?,?,?,?,?,?
defence,d,e,f,e,n,c,e,?,?,?,?,?,?,?,dI0fens,d,I,0,f,e,n,s,?,?,?
define,d,e,f,i,n,e,?,?,?,?,?,?,?,?,dI0f8n,d,I,0,f,8,n,?,?,?,?
degree,d,e,g,r,e,e,?,?,?,?,?,?,?,?,dI0?r5,d,I,0,?,r,5,?,?,?,?
deliver,d,e,l,i,v,e,r,?,?,?,?,?,?,?,dI0lIvA,d,I,0,l,I,v,A,?,?,?
demand,d,e,m,a,n,d,?,?,?,?,?,?,?,?,dI0m2nd,d,I,0,m,2,n,d,?,?,?
depend,d,e,p,e,n,d,?,?,?,?,?,?,?,?,dI0pend,d,I,0,p,e,n,d,?,?,?
describe,d,e,s,c,r,i,b,e,?,?,?,?,?,?,dI0skr8b,d,I,0,s,k,r,8,b,?,?
design,d,e,s,i,g,n,?,?,?,?,?,?,?,?,dI0z8n,d,I,0,z,8,n,?,?,?,?
despite,d,e,s,p,i,t,e,?,?,?,?,?,?,?,dI0sp8t,d,I,0,s,p,8,t,?,?,?
detail,d,e,t,a,i,l,?,?,?,?,?,?,?,?,0d5t!l,0,d,5,t,!,l,?,?,?,?
determine,d,e,t,e,r,m,i,n,e,?,?,?,?,?,dI0t4mIn,d,I,0,t,4,m,I,n,?,?
develop,d,e,v,e,l,o,p,?,?,?,?,?,?,?,dI0velAp,d,I,0,v,e,l,A,p,?,?
die,d,i,e,?,?,?,?,?,?,?,?,?,?,?,d8,d,8,?,?,?,?,?,?,?,?
difference,d,i,f,f,e,r,e,n,c,e,?,?,?,?,0dIf(A)r(A)ns,0,d,I,f,(A),r,(A),n,s,?
different,d,i,f,f,e,r,e,n,t,?,?,?,?,?,0dIf(A)r(A)nt,0,d,I,f,(A),r,(A),n,t,?
difficult,d,i,f,f,i,c,u,l,t,?,?,?,?,?,0dIfIk(A)lt,0,d,I,f,I,k,(A),l,t,?
direct,d,i,r,e,c,t,?,?,?,?,?,?,?,?,dI0rekt,d,I,0,r,e,k,t,?,?,?
direct,d,i,r,e,c,t,?,?,?,?,?,?,?,?,d80rekt,d,8,0,r,e,k,t,?,?,?
director,d,i,r,e,c,t,o,r,?,?,?,?,?,?,dI0rektA,d,I,0,r,e,k,t,A,?,?
director,d,i,r,e,c,t,o,r,?,?,?,?,?,?,d80rektA,d,8,0,r,e,k,t,A,?,?
discover,d,i,s,c,o,v,e,r,?,?,?,?,?,?,dI0skuvA,d,I,0,s,k,u,v,A,?,?
