Source page: http://www.oxforddictionaries.com/top1000/english,
link,link/_text,link/_title,arl_value,arldict_flag,label,definition_description,"_PAGE_NUMBER"
"http://www.oxforddictionaries.com/definition/english/always","always British & World English","English definition of always in Oxford Dictionaries (British & World English)","always","British & World English","…","At all times; on all occasions","1"
"http://www.oxforddictionaries.com/definition/english/among","among British & World English","English definition of among in Oxford Dictionaries (British & World English)","among","British & World English","…","Situated more or less centrally in relation to (several other things)","1"
"http://www.oxforddictionaries.com/definition/english/amount","amount British & World English","English definition of amount in Oxford Dictionaries (British & World English)","amount","British & World English","…","A quantity of something, especially the total of a thing or things in number, size, value, or extent","1"
"http://www.oxforddictionaries.com/definition/english/analysis","analysis British & World English","English definition of analysis in Oxford Dictionaries (British & World English)","analysis","British & World English","…","Detailed examination of the elements or structure of something","1"
"http://www.oxforddictionaries.com/definition/english/and","and British & World English","English definition of and in Oxford Dictionaries (British & World English)","and","British & World English","…","Used to connect words of the same part of speech, clauses, or sentences, that are to be taken jointly","1"
"http://www.oxforddictionaries.com/definition/english/animal","animal British & World English","English definition of animal in Oxford Dictionaries (British & World English)","animal","British & World English","…","A living organism which feeds on organic matter, typically having specialized sense organs and nervous system and able to respond rapidly to stimuli","1"
"http://www.oxforddictionaries.com/definition/english/announce","announce British & World English","English definition of announce in Oxford Dictionaries (British & World English)","announce","British & World English","…","Make a formal public statement about a fact, occurrence, or intention","1"
"http://www.oxforddictionaries.com/definition/english/another","another British & World English","English definition of another in Oxford Dictionaries (British & World English)","another","British & World English","…","Used to refer to an additional person or thing of the same type as one already mentioned or known about; one more; a further","1"
"http://www.oxforddictionaries.com/definition/english/answer","answer British & World English","English definition of answer in Oxford Dictionaries (British & World English)","answer","British & World English","…","A thing that is said, written, or done as a reaction to a question, statement, or situation","1"
"http://www.oxforddictionaries.com/definition/english/any","any British & World English","English definition of any in Oxford Dictionaries (British & World English)","any","British & World English","…","Used to refer to one or some of a thing or number of things, no matter how much or how many","1"
"http://www.oxforddictionaries.com/definition/english/anyone","anyone British & World English","English definition of anyone in Oxford Dictionaries (British & World English)","anyone","British & World English","…","Any person or people","1"
"http://www.oxforddictionaries.com/definition/english/anything","anything British & World English","English definition of anything in Oxford Dictionaries (British & World English)","anything","British & World English","…","Used to refer to a thing, no matter what","1"
"http://www.oxforddictionaries.com/definition/english/appeal","appeal British & World English","English definition of appeal in Oxford Dictionaries (British & World English)","appeal","British & World English","…","Make a serious, urgent, or heartfelt request","2"
"http://www.oxforddictionaries.com/definition/english/appear","appear British & World English","English definition of appear in Oxford Dictionaries (British & World English)","appear","British & World English","…","Come into sight; become visible or noticeable, especially without apparent cause","2"
"http://www.oxforddictionaries.com/definition/english/application","application British & World English","English definition of application in Oxford Dictionaries (British & World English)","application","British & World English","…","A formal request to an authority","2"
"http://www.oxforddictionaries.com/definition/english/apply","apply British & World English","English definition of apply in Oxford Dictionaries (British & World English)","apply","British & World English","…","Make a formal application or request","2"
"http://www.oxforddictionaries.com/definition/english/approach","approach British & World English","English definition of approach in Oxford Dictionaries (British & World English)","approach","British & World English","…","Come near or nearer to (someone or something) in distance or time","2"
"http://www.oxforddictionaries.com/definition/english/area","area British & World English","English definition of area in Oxford Dictionaries (British & World English)","area","British & World English","…","A region or part of a town, a country, or the world","2"
"http://www.oxforddictionaries.com/definition/english/argue","argue British & World English","English definition of argue in Oxford Dictionaries (British & World English)","argue","British & World English","…","Give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others to share one’s view","2"
"http://www.oxforddictionaries.com/definition/english/argument","argument British & World English","English definition of argument in Oxford Dictionaries (British & World English)","argument","British & World English","…","An exchange of diverging or opposite views, typically a heated or angry one","2"
"http://www.oxforddictionaries.com/definition/english/arm","ARM British & World English","English definition of ARM in Oxford Dictionaries (British & World English)","ARM","British & World English","…","Adjustable-rate mortgage","2"
"http://www.oxforddictionaries.com/definition/english/around","around British & World English","English definition of around in Oxford Dictionaries (British & World English)","around","British & World English","…","Located or situated on every side","2"
"http://www.oxforddictionaries.com/definition/english/arrive","arrive British & World English","English definition of arrive in Oxford Dictionaries (British & World English)","arrive","British & World English","…","Reach a place at the end of a journey or a stage in a journey","2"
"http://www.oxforddictionaries.com/definition/english/art","art British & World English","English definition of art in Oxford Dictionaries (British & World English)","art","British & World English","…","The expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture, producing works to be appreciated primarily for their beauty or emotional power","2"
"http://www.oxforddictionaries.com/definition/english/article","article British & World English","English definition of article in Oxford Dictionaries (British & World English)","article","British & World English","…","A particular item or object","2"
"http://www.oxforddictionaries.com/definition/english/artist","artist British & World English","English definition of artist in Oxford Dictionaries (British & World English)","artist","British & World English","…","A person who creates paintings or drawings as a profession or hobby","2"
"http://www.oxforddictionaries.com/definition/english/as","as British & World English","English definition of as in Oxford Dictionaries (British & World English)","as","British & World English","…","Used in comparisons to refer to the extent or degree of something","2"
"http://www.oxforddictionaries.com/definition/english/ask","ask British & World English","English definition of ask in Oxford Dictionaries (British & World English)","ask","British & World English","…","Say something in order to obtain an answer or some information","2"
"http://www.oxforddictionaries.com/definition/english/associate","associate British & World English","English definition of associate in Oxford Dictionaries (British & World English)","associate","British & World English","…","Connect (someone or something) with something else in one’s mind","2"
"http://www.oxforddictionaries.com/definition/english/assume","assume British & World English","English definition of assume in Oxford Dictionaries (British & World English)","assume","British & World English","…","Suppose to be the case, without proof","2"
"http://www.oxforddictionaries.com/definition/english/at","at British & World English","English definition of at in Oxford Dictionaries (British & World English)","at","British & World English","…","Expressing location or arrival in a particular place or position","2"
"http://www.oxforddictionaries.com/definition/english/attack","attack British & World English","English definition of attack in Oxford Dictionaries (British & World English)","attack","British & World English","…","Take aggressive military action against (a place or enemy forces) with weapons or armed force","2"
"http://www.oxforddictionaries.com/definition/english/attempt","attempt British & World English","English definition of attempt in Oxford Dictionaries (British & World English)","attempt","British & World English","…","Make an effort to achieve or complete (something difficult)","2"
"http://www.oxforddictionaries.com/definition/english/attend","attend British & World English","English definition of attend in Oxford Dictionaries (British & World English)","attend","British & World English","…","Be present at (an event, meeting, or function)","2"
"http://www.oxforddictionaries.com/definition/english/attention","attention British & World English","English definition of attention in Oxford Dictionaries (British & World English)","attention","British & World English","…","Notice taken of someone or something; the regarding of someone or something as interesting or important","2"
"http://www.oxforddictionaries.com/definition/english/audience","audience British & World English","English definition of audience in Oxford Dictionaries (British & World English)","audience","British & World English","…","The assembled spectators or listeners at a public event such as a play, film, concert, or meeting","2"
"http://www.oxforddictionaries.com/definition/english/author","author British & World English","English definition of author in Oxford Dictionaries (British & World English)","author","British & World English","…","A writer of a book, article, or document","2"
"http://www.oxforddictionaries.com/definition/english/authority","authority British & World English","English definition of authority in Oxford Dictionaries (British & World English)","authority","British & World English","…","The power or right to give orders, make decisions, and enforce obedience","2"
"http://www.oxforddictionaries.com/definition/english/available","available British & World English","English definition of available in Oxford Dictionaries (British & World English)","available","British & World English","…","Able to be used or obtained; at someone’s disposal","2"
"http://www.oxforddictionaries.com/definition/english/average","average British & World English","English definition of average in Oxford Dictionaries (British & World English)","average","British & World English","…","A number expressing the central or typical value in a set of data, in particular the mode, median, or (most commonly) the mean, which is calculated by dividing the sum of the values in the set by their number","2"
"http://www.oxforddictionaries.com/definition/english/avoid","avoid British & World English","English definition of avoid in Oxford Dictionaries (British & World English)","avoid","British & World English","…","Keep away from or stop oneself from doing (something)","2"
"http://www.oxforddictionaries.com/definition/english/award","award British & World English","English definition of award in Oxford Dictionaries (British & World English)","award","British & World English","…","Give or order the giving of (something) as an official payment, compensation, or prize to (someone)","2"
"http://www.oxforddictionaries.com/definition/english/away","away British & World English","English definition of away in Oxford Dictionaries (British & World English)","away","British & World English","…","To or at a distance from a particular place or person","2"
"http://www.oxforddictionaries.com/definition/english/back","back British & World English","English definition of back in Oxford Dictionaries (British & World English)","back","British & World English","…","The rear surface of the human body from the shoulders to the hips","2"
"http://www.oxforddictionaries.com/definition/english/bad","bad British & World English","English definition of bad in Oxford Dictionaries (British & World English)","bad","British & World English","…","Of poor quality or a low standard","2"
"http://www.oxforddictionaries.com/definition/english/ball","ball British & World English","English definition of ball in Oxford Dictionaries (British & World English)","ball","British & World English","…","A solid or hollow spherical or egg-shaped object that is kicked, thrown, or hit in a game","2"
"http://www.oxforddictionaries.com/definition/english/band","band British & World English","English definition of band in Oxford Dictionaries (British & World English)","band","British & World English","…","A flat, thin strip or loop of material, used as a fastener, for reinforcement, or as decoration","2"
"http://www.oxforddictionaries.com/definition/english/bank","bank British & World English","English definition of bank in Oxford Dictionaries (British & World English)","bank","British & World English","…","The land alongside or sloping down to a river or lake","2"
"http://www.oxforddictionaries.com/definition/english/bar","bar British & World English","English definition of bar in Oxford Dictionaries (British & World English)","bar","British & World English","…","A long rigid piece of wood, metal, or similar material, typically used as an obstruction, fastening, or weapon","2"
"http://www.oxforddictionaries.com/definition/english/base","base British & World English","English definition of base in Oxford Dictionaries (British & World English)","base","British & World English","…","The lowest part or edge of something, especially the part on which it rests or is supported","2"
"http://www.oxforddictionaries.com/definition/english/basis","basis British & World English","English definition of basis in Oxford Dictionaries (British & World English)","basis","British & World English","…","The underlying support or foundation for an idea, argument, or process","2"
"http://www.oxforddictionaries.com/definition/english/battle","battle British & World English","English definition of battle in Oxford Dictionaries (British & World English)","battle","British & World English","…","A sustained fight between large organized armed forces","2"
"http://www.oxforddictionaries.com/definition/english/be","be British & World English","English definition of be in Oxford Dictionaries (British & World English)","be","British & World English","…","Exist","2"
"http://www.oxforddictionaries.com/definition/english/beat","beat British & World English","English definition of beat in Oxford Dictionaries (British & World English)","beat","British & World English","…","Strike (a person or an animal) repeatedly and violently so as to hurt or injure them, typically with an implement such as a club or whip","2"
"http://www.oxforddictionaries.com/definition/english/because","because British & World English","English definition of because in Oxford Dictionaries (British & World English)","because","British & World English","…","For the reason that; since","2"
"http://www.oxforddictionaries.com/definition/english/become","become British & World English","English definition of become in Oxford Dictionaries (British & World English)","become","British & World English","…","Begin to be","2"
"http://www.oxforddictionaries.com/definition/english/before","before British & World English","English definition of before in Oxford Dictionaries (British & World English)","before","British & World English","…","During the period of time preceding (a particular event or time)","2"
"http://www.oxforddictionaries.com/definition/english/begin","begin British & World English","English definition of begin in Oxford Dictionaries (British & World English)","begin","British & World English","…","Perform or undergo the first part of (an action or activity)","2"
"http://www.oxforddictionaries.com/definition/english/behaviour","behaviour British & World English","English definition of behaviour in Oxford Dictionaries (British & World English)","behaviour","British & World English","…","The way in which one acts or conducts oneself, especially towards others","2"
"http://www.oxforddictionaries.com/definition/english/behind","behind British & World English","English definition of behind in Oxford Dictionaries (British & World English)","behind","British & World English","…","At or to the far side of (something), typically so as to be hidden by it","2"
"http://www.oxforddictionaries.com/definition/english/believe","believe British & World English","English definition of believe in Oxford Dictionaries (British & World English)","believe","British & World English","…","Accept that (something) is true, especially without proof","2"
"http://www.oxforddictionaries.com/definition/english/benefit","benefit British & World English","English definition of benefit in Oxford Dictionaries (British & World English)","benefit","British & World English","…","An advantage or profit gained from something","2"
"http://www.oxforddictionaries.com/definition/english/between","between British & World English","English definition of between in Oxford Dictionaries (British & World English)","between","British & World English","…","At, into, or across the space separating (two objects or regions)","3"
"http://www.oxforddictionaries.com/definition/english/beyond","beyond British & World English","English definition of beyond in Oxford Dictionaries (British & World English)","beyond","British & World English","…","At or to the further side of","3"
"http://www.oxforddictionaries.com/definition/english/big","big British & World English","English definition of big in Oxford Dictionaries (British & World English)","big","British & World English","…","Of considerable size or extent","3"
"http://www.oxforddictionaries.com/definition/english/bill","bill British & World English","English definition of bill in Oxford Dictionaries (British & World English)","bill","British & World English","…","A printed or written statement of the money owed for goods or services","3"
"http://www.oxforddictionaries.com/definition/english/billion","billion British & World English","English definition of billion in Oxford Dictionaries (British & World English)","billion","British & World English","…","The number equivalent to the product of a thousand and a million; 1,000,000,000 or 109","3"
"http://www.oxforddictionaries.com/definition/english/black","black British & World English","English definition of black in Oxford Dictionaries (British & World English)","black","British & World English","…","Of the very darkest colour owing to the absence of or complete absorption of light; the opposite of white","3"
"http://www.oxforddictionaries.com/definition/english/blood","blood British & World English","English definition of blood in Oxford Dictionaries (British & World English)","blood","British & World English","…","The red liquid that circulates in the arteries and veins of humans and other vertebrate animals, carrying oxygen to and carbon dioxide from the tissues of the body","3"
"http://www.oxforddictionaries.com/definition/english/board","board British & World English","English definition of board in Oxford Dictionaries (British & World English)","board","British & World English","…","A long, thin, flat piece of wood or other hard material, used for floors or other building purposes","3"
"http://www.oxforddictionaries.com/definition/english/body","body British & World English","English definition of body in Oxford Dictionaries (British & World English)","body","British & World English","…","The physical structure, including the bones, flesh, and organs, of a person or an animal","3"
"http://www.oxforddictionaries.com/definition/english/book","book British & World English","English definition of book in Oxford Dictionaries (British & World English)","book","British & World English","…","A written or printed work consisting of pages glued or sewn together along one side and bound in covers","3"
"http://www.oxforddictionaries.com/definition/english/both","both British & World English","English definition of both in Oxford Dictionaries (British & World English)","both","British & World English","…","Used for emphasis to refer to two people or things, regarded and identified together","3"
"http://www.oxforddictionaries.com/definition/english/box","box British & World English","English definition of box in Oxford Dictionaries (British & World English)","box","British & World English","…","A container with a flat base and sides, typically square or rectangular and having a lid","3"
"http://www.oxforddictionaries.com/definition/english/boy","boy British & World English","English definition of boy in Oxford Dictionaries (British & World English)","boy","British & World English","…","A male child or youth","3"
"http://www.oxforddictionaries.com/definition/english/break","break British & World English","English definition of break in Oxford Dictionaries (British & World English)","break","British & World English","…","Separate into pieces as a result of a blow, shock, or strain","3"
"http://www.oxforddictionaries.com/definition/english/bring","bring British & World English","English definition of bring in Oxford Dictionaries (British & World English)","bring","British & World English","…","Take or go with (someone or something) to a place","3"
"http://www.oxforddictionaries.com/definition/english/build","build British & World English","English definition of build in Oxford Dictionaries (British & World English)","build","British & World English","…","Construct (something) by putting parts or material together","3"
"http://www.oxforddictionaries.com/definition/english/building","building British & World English","English definition of building in Oxford Dictionaries (British & World English)","building","British & World English","…","A structure with a roof and walls, such as a house or factory","3"
"http://www.oxforddictionaries.com/definition/english/business","business British & World English","English definition of business in Oxford Dictionaries (British & World English)","business","British & World English","…","A person’s regular occupation, profession, or trade","3"
"http://www.oxforddictionaries.com/definition/english/but","but British & World English","English definition of but in Oxford Dictionaries (British & World English)","but","British & World English","…","Used to introduce a phrase or clause contrasting with what has already been mentioned","3"
"http://www.oxforddictionaries.com/definition/english/buy","buy British & World English","English definition of buy in Oxford Dictionaries (British & World English)","buy","British & World English","…","Obtain in exchange for payment","3"
"http://www.oxforddictionaries.com/definition/english/by","by British & World English","English definition of by in Oxford Dictionaries (British & World English)","by","British & World English","…","Identifying the agent performing an action:","3"
"http://www.oxforddictionaries.com/definition/english/call","call British & World English","English definition of call in Oxford Dictionaries (British & World English)","call","British & World English","…","Give (a baby or animal) a specified name","3"
"http://www.oxforddictionaries.com/definition/english/campaign","campaign British & World English","English definition of campaign in Oxford Dictionaries (British & World English)","campaign","British & World English","…","A series of military operations intended to achieve a goal, confined to a particular area, or involving a specified type of fighting","3"
"http://www.oxforddictionaries.com/definition/english/can","can British & World English","English definition of can in Oxford Dictionaries (British & World English)","can","British & World English","…","Be able to","3"
"http://www.oxforddictionaries.com/definition/english/candidate","candidate British & World English","English definition of candidate in Oxford Dictionaries (British & World English)","candidate","British & World English","…","A person who applies for a job or is nominated for election","3"
"http://www.oxforddictionaries.com/definition/english/cannot","cannot British & World English","English definition of cannot in Oxford Dictionaries (British & World English)","cannot","British & World English","…","Can not","3"
"http://www.oxforddictionaries.com/definition/english/capital","capital British & World English","English definition of capital in Oxford Dictionaries (British & World English)","capital","British & World English","…","The city or town that functions as the seat of government and administrative centre of a country or region","3"
"http://www.oxforddictionaries.com/definition/english/car","car British & World English","English definition of car in Oxford Dictionaries (British & World English)","car","British & World English","…","A road vehicle, typically with four wheels, powered by an internal-combustion engine and able to carry a small number of people","3"
"http://www.oxforddictionaries.com/definition/english/card","card British & World English","English definition of card in Oxford Dictionaries (British & World English)","card","British & World English","…","A piece of thick, stiff paper or thin pasteboard, in particular one used for writing or printing on","3"
"http://www.oxforddictionaries.com/definition/english/care","care British & World English","English definition of care in Oxford Dictionaries (British & World English)","care","British & World English","…","The provision of what is necessary for the health, welfare, maintenance, and protection of someone or something","3"
"http://www.oxforddictionaries.com/definition/english/career","career British & World English","English definition of career in Oxford Dictionaries (British & World English)","career","British & World English","…","An occupation undertaken for a significant period of a person’s life and with opportunities for progress","3"
"http://www.oxforddictionaries.com/definition/english/carry","carry British & World English","English definition of carry in Oxford Dictionaries (British & World English)","carry","British & World English","…","Support and move (someone or something) from one place to another","3"
"http://www.oxforddictionaries.com/definition/english/case","case British & World English","English definition of case in Oxford Dictionaries (British & World English)","case","British & World English","…","An instance of a particular situation; an example of something occurring","3"
"http://www.oxforddictionaries.com/definition/english/catch","catch British & World English","English definition of catch in Oxford Dictionaries (British & World English)","catch","British & World English","…","Intercept and hold (something which has been thrown, propelled, or dropped)","3"
"http://www.oxforddictionaries.com/definition/english/cause","cause British & World English","English definition of cause in Oxford Dictionaries (British & World English)","cause","British & World English","…","A person or thing that gives rise to an action, phenomenon, or condition","3"
"http://www.oxforddictionaries.com/definition/english/cell","cell British & World English","English definition of cell in Oxford Dictionaries (British & World English)","cell","British & World English","…","A small room in which a prisoner is locked up or in which a monk or nun sleeps","3"
"http://www.oxforddictionaries.com/definition/english/central","central British & World English","English definition of central in Oxford Dictionaries (British & World English)","central","British & World English","…","At the point or in the area that is in the middle of something","3"
"http://www.oxforddictionaries.com/definition/english/centre","centre British & World English","English definition of centre in Oxford Dictionaries (British & World English)","centre","British & World English","…","The point that is equally distant from every point on the circumference of a circle or sphere","3"
"http://www.oxforddictionaries.com/definition/english/century","century British & World English","English definition of century in Oxford Dictionaries (British & World English)","century","British & World English","…","A period of one hundred years","3"
"http://www.oxforddictionaries.com/definition/english/certain","certain British & World English","English definition of certain in Oxford Dictionaries (British & World English)","certain","British & World English","…","Able to be firmly relied on to happen or be the case","3"
"http://www.oxforddictionaries.com/definition/english/certainly","certainly British & World English","English definition of certainly in Oxford Dictionaries (British & World English)","certainly","British & World English","…","Used to emphasize the speaker’s belief that what is said is true","3"
"http://www.oxforddictionaries.com/definition/english/challenge","challenge British & World English","English definition of challenge in Oxford Dictionaries (British & World English)","challenge","British & World English","…","A call to someone to participate in a competitive situation or fight to decide who is superior in terms of ability or strength","3"
"http://www.oxforddictionaries.com/definition/english/chance","chance British & World English","English definition of chance in Oxford Dictionaries (British & World English)","chance","British & World English","…","A possibility of something happening","3"
"http://www.oxforddictionaries.com/definition/english/change","change British & World English","English definition of change in Oxford Dictionaries (British & World English)","change","British & World English","…","Make or become different","3"
"http://www.oxforddictionaries.com/definition/english/character","character British & World English","English definition of character in Oxford Dictionaries (British & World English)","character","British & World English","…","The mental and moral qualities distinctive to an individual","3"
"http://www.oxforddictionaries.com/definition/english/charge","charge British & World English","English definition of charge in Oxford Dictionaries (British & World English)","charge","British & World English","…","Demand (an amount) as a price for a service rendered or goods supplied","3"
"http://www.oxforddictionaries.com/definition/english/check","check British & World English","English definition of check in Oxford Dictionaries (British & World English)","check","British & World English","…","Examine (something) in order to determine its accuracy, quality, or condition, or to detect the presence of something","3"
"http://www.oxforddictionaries.com/definition/english/chief","chief British & World English","English definition of chief in Oxford Dictionaries (British & World English)","chief","British & World English","…","A leader or ruler of a people or clan","3"
"http://www.oxforddictionaries.com/definition/english/child","child British & World English","English definition of child in Oxford Dictionaries (British & World English)","child","British & World English","…","A young human being below the age of puberty or below the legal age of majority","3"
"http://www.oxforddictionaries.com/definition/english/choice","choice British & World English","English definition of choice in Oxford Dictionaries (British & World English)","choice","British & World English","…","An act of choosing between two or more possibilities","3"
"http://www.oxforddictionaries.com/definition/english/choose","choose British & World English","English definition of choose in Oxford Dictionaries (British & World English)","choose","British & World English","…","Pick out (someone or something) as being the best or most appropriate of two or more alternatives","4"
"http://www.oxforddictionaries.com/definition/english/church","church British & World English","English definition of church in Oxford Dictionaries (British & World English)","church","British & World English","…","A building used for public Christian worship","4"
"http://www.oxforddictionaries.com/definition/english/city","city British & World English","English definition of city in Oxford Dictionaries (British & World English)","city","British & World English","…","A large town","4"
"http://www.oxforddictionaries.com/definition/english/claim","claim British & World English","English definition of claim in Oxford Dictionaries (British & World English)","claim","British & World English","…","State or assert that something is the case, typically without providing evidence or proof","4"
"http://www.oxforddictionaries.com/definition/english/class","class British & World English","English definition of class in Oxford Dictionaries (British & World English)","class","British & World English","…","A set or category of things having some property or attribute in common and differentiated from others by kind, type, or quality","4"
"http://www.oxforddictionaries.com/definition/english/clear","clear British & World English","English definition of clear in Oxford Dictionaries (British & World English)","clear","British & World English","…","Easy to perceive, understand, or interpret","4"
